Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
5018,Mutualité,OUI,37,16,18,16,2,OUI,OUI,2020-05-29T10:42:50Z,"48.8482255727,2.35028732568",Paris,NA
43401,Gare RER - Canadiens,OUI,45,28,17,3,14,OUI,OUI,2020-05-29T10:42:15Z,"48.8199530796,2.46417675246",Joinville-le-Pont,NA
12128,Pyramide - Ecole du Breuil,OUI,34,12,20,15,5,OUI,OUI,2020-05-29T10:43:22Z,"48.8223797715,2.45868712664",Paris,NA
19103,Manin - Carrières d'Amérique,OUI,20,15,4,1,3,OUI,OUI,2020-05-29T10:37:39Z,"48.8846721421,2.3919698596",Paris,NA
15105,Fédération - Suffren,OUI,25,8,17,15,2,OUI,OUI,2020-05-29T10:42:57Z,"48.8528281534,2.29787763208",Paris,NA
18046,Etienne Jodelle - Saint Ouen,OUI,33,30,2,1,1,OUI,OUI,2020-05-29T10:43:17Z,"48.8879401639,2.32612442031",Paris,NA
44013,Edouard Tremblay - Julian Grimau,OUI,30,28,2,2,0,OUI,OUI,2020-05-29T10:38:48Z,"48.7813838251,2.37235084176",Vitry-sur-Seine,NA
13053,Chevaleret - Tolbiac,OUI,21,1,19,17,2,OUI,OUI,2020-05-29T10:42:57Z,"48.82941,2.375934",Paris,NA
35010,Hoche - Jean Lolive,OUI,24,16,8,2,6,OUI,OUI,2020-05-29T10:37:16Z,"48.891102392,2.40284353495",Pantin,NA
16136,Théophile Gautier - François Millet,OUI,30,13,17,16,1,OUI,OUI,2020-05-29T10:39:01Z,"48.8503482132,2.27302998304",Paris,NA
11036,Jules Ferry - Faubourg du Temple Paris,OUI,58,55,2,1,1,OUI,OUI,2020-05-29T10:42:56Z,"48.868397,2.3678933",Paris,NA
11009,Boulets - Voltaire,OUI,24,7,16,12,4,OUI,OUI,2020-05-29T10:43:26Z,"48.8521870562,2.38903015852",Paris,NA
14021,Place de la Porte de Châtillon,OUI,59,48,8,0,8,OUI,OUI,2020-05-29T10:39:37Z,"48.8242469,2.3186306",Paris,NA
33003,Bordier - Félix Faure,OUI,48,41,7,2,5,OUI,OUI,2020-05-29T10:42:17Z,"48.9039075188,2.38300591707",Aubervilliers,NA
15029,Emeriau - Place de Brazzaville,OUI,51,25,26,19,7,OUI,OUI,2020-05-29T10:39:56Z,"48.8507852617,2.28715851903",Paris,NA
15055,Vasco de Gama,OUI,54,9,45,41,4,OUI,OUI,2020-05-29T10:43:28Z,"48.8367178347,2.28366408565",Paris,NA
17046,Mac-Mahon - Brey,OUI,25,11,13,5,8,OUI,OUI,2020-05-29T10:41:04Z,"48.8775320841,2.29451253605",Paris,NA
18023,Ordener - Poissonniers,OUI,35,32,3,1,2,OUI,OUI,2020-05-29T10:36:41Z,"48.8912138908,2.35128866622",Paris,NA
15003,Gare Montparnasse - Vaugirard,OUI,66,66,0,0,0,NON,NON,2020-05-29T10:34:27Z,"48.8418071799,2.3195100269",Paris,NA
2001,Greneta - Sebastopol,OUI,30,19,10,7,3,OUI,OUI,2020-05-29T10:42:25Z,"48.8652423332,2.35166698694",Paris,NA
10163,Gare du Nord - Demarquay,OUI,30,25,5,5,0,OUI,OUI,2020-05-29T10:43:16Z,"48.881154,2.358411",Paris,NA
17016,Brochant - Square des Batignolles,OUI,31,29,2,1,1,OUI,OUI,2020-05-29T10:41:15Z,"48.8881869858,2.31686114315",Paris,NA
8104,Chateaubriand - Friedland,OUI,31,26,5,4,1,OUI,OUI,2020-05-29T10:41:50Z,"48.8740144756,2.29991625787",Paris,NA
1016,Thérèse - Opéra,OUI,25,0,25,16,9,OUI,OUI,2020-05-29T10:43:33Z,"48.8664835145,2.33443342122",Paris,NA
15133,Sellier - Saint-Cloud,NON,0,0,0,0,0,NON,NON,2019-10-10T08:45:56Z,"48.8366868687,2.29292843633",Paris,NA
20047,Cours de Vincennes - Davout,OUI,48,43,5,3,2,OUI,OUI,2020-05-29T10:41:42Z,"48.84723803,2.41070423362",Paris,NA
16007,Longchamp - Place d'Iéna,OUI,40,23,16,7,9,OUI,OUI,2020-05-29T10:41:53Z,"48.8649172334,2.29267481714",Paris,NA
9029,Saint-Lazare - Place d'Estienne d'Orves,OUI,39,29,8,5,3,OUI,OUI,2020-05-29T10:40:00Z,"48.8768345,2.3329067",Paris,NA
22008,Charles de Gaulle - Graviers,OUI,28,27,1,0,1,OUI,OUI,2020-05-29T10:39:06Z,"48.8831517592,2.26488143206",Neuilly-sur-Seine,NA
9114,Faubourg Poissonnière - Dunkerque,OUI,30,29,1,1,0,OUI,OUI,2020-05-29T10:41:36Z,"48.8808834454,2.34993427992",Paris,NA
23004,Paul Vaillant-Couturier - Victor Hugo,OUI,36,27,9,5,4,OUI,OUI,2020-05-29T10:42:57Z,"48.8981970226,2.29384801797",Levallois-Perret,NA
16001,Portugais - Kléber,OUI,26,14,11,4,7,OUI,OUI,2020-05-29T10:41:47Z,"48.8712148,2.2937349",Paris,NA
51002,Placette Grégoire Collas,OUI,25,18,5,1,4,OUI,OUI,2020-05-29T10:33:50Z,"48.94342014,2.24874760956",Argenteuil,NA
21314,Chemin de Bretagne,OUI,29,7,22,16,6,OUI,OUI,2020-05-29T10:41:18Z,"48.825147,2.25936",Issy-les-Moulineaux,NA
