numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,X60
07661,20200524150000,mq,mq,mq,240,4.7,NA,mq,mq,40000,2,0,mq,10,1,800,31,20,12,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,6.100000,6.700000,-10,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,1,8,900,1,0,7000,mq,mq,mq,mq,mq,mq,NA
07690,20200524150000,102330,-30,7,140,1.3,296.45,289.950000,67,19660,0,mq,mq,mq,0,mq,mq,mq,mq,102030,mq,mq,170,mq,mq,mq,mq,292.650000,mq,mq,1.800000,2.900000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07747,20200524150000,102670,-140,7,320,5.2,297.55,279.350000,31,60000,0,mq,mq,mq,0,mq,mq,mq,mq,102160,mq,mq,-20,mq,mq,mq,mq,290.350000,mq,mq,9.200000,10.400000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07761,20200524150000,102320,-50,6,230,3.9,294.45,288.050000,67,29600,0,mq,mq,mq,0,mq,mq,mq,mq,102210,mq,mq,-240,mq,mq,mq,mq,288.450000,mq,mq,5.800000,6.600000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
07790,20200524150000,102260,-90,6,100,2.4,297.05,289.850000,64,41670,0,mq,mq,mq,0,mq,mq,mq,mq,102120,mq,mq,-140,mq,mq,mq,mq,291.350000,mq,mq,4.800000,4.800000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61968,20200524150000,101410,110,3,90,2,300.65,294.650000,70,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101360,mq,mq,-110,mq,298.850000,mq,303.850000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61972,20200524150000,101720,10,3,190,2.6,296.75,291.150000,71,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101650,mq,mq,-240,mq,292.150000,mq,300.250000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61976,20200524150000,101640,110,2,160,9.4,298.75,292.850000,70,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101550,mq,mq,-50,mq,297.850000,mq,301.650000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61980,20200524150000,101860,120,3,110,3,295.75,289.950000,70,31790,0,mq,mq,100,8,1750,mq,mq,mq,101710,mq,mq,-150,mq,mq,mq,mq,mq,mq,mq,4.200000,9.600000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,8,mq,1500,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61996,20200524150000,102250,50,8,290,8.9,285.85,279.250000,64,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101900,mq,mq,-180,mq,283.850000,mq,288.750000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.200000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61997,20200524150000,99640,770,6,10,13.2,276.25,231.050000,2,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,97860,mq,mq,-230,mq,275.450000,mq,284.450000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,3.800000,4.600000,4.600000,4.600000,4.800000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
61998,20200524150000,mq,-140,8,290,13.9,278.35,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,97870,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,21.100000,-10,mq,mq,mq,mq,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
